gene	cnv
AHCTF1P1	2.13
AHCY	1.849
AHCYL1	2.053
AHCYL2	2.009
AHDC1	2.053
AHI1	1.687
AHNAK	2.205
AHNAK2	1.92
AHR	2.009
AHRR	1.955
AHSA1	1.92
AHSA2	1.975
AHSG	2.033
AHSP	2.167
AICDA	2.061
AIDA	1.973
AIF1	1.715
AIF1L	1.61
AIFM1	2.147
AIFM2	1.96
AIFM3	1.865
AIG1	1.687
AIM1	1.687
AIM1L	2.053
AIM2	1.973
AIMP1	2.39
AIMP2	2
AIP	1.922
AIPL1	1.954
AIRE	2.223
AIRN	1.687
AJAP1	2.053
AJUBA	1.92
AK1	1.61
AK2	2.053
AK3	1.946
AK4	2.053
AK5	2.053
AK6	1.714
AK7	1.92
AK8	1.61
AK9	1.687
AKAIN1	2.129
AKAP1	1.954
AKAP10	1.954
AKAP11	2.057
AKAP12	1.687
AKAP13	2
AKAP14	2.147
AKAP17A	2.147
AKAP2	1.61
AKAP3	2.061
AKAP4	2.147
AKAP5	1.92
AKAP6	1.92
AKAP7	1.687
AKAP8	2.368
AKAP8L	2.368
AKAP9	2.009
AKIP1	2.205
AKIRIN1	2.053
AKIRIN2	1.687
AKNA	1.61
AKNAD1	2.053
AKR1A1	2.053
AKR1B1	2.009
AKR1B10	2.009
AKR1B15	2.009
AKR1C1	1.96
AKR1C2	1.96
AKR1C3	1.96
AKR1C4	1.96
AKR1C6P	2
AKR1C8P	2
AKR1D1	2.009
AKR1E2	1.96
AKR7A2	2.053
AKR7A2P1	2.053
AKR7A3	2.053
AKR7L	2.053
AKT1	1.92
AKT1S1	2.391
AKT2	2.391
AKT3	2.332
AKTIP	2.266
ALAD	1.61
ALAS1	1.635
ALAS2	2.147
ALB	2.39
ALCAM	1.635
ALDH16A1	2.391
ALDH18A1	1.96
ALDH1A1	1.61
ALDH1A2	2
ALDH1A3	2
ALDH1B1	1.946
ALDH1L1	2.033
ALDH1L1-AS1	2.033
ALDH1L1-AS2	2.033
ALDH1L2	2.061
ALDH2	2.061
ALDH3A1	1.954
ALDH3A2	1.954
ALDH3B1	1.922
ALDH3B2	1.922
ALDH4A1	2.053
ALDH5A1	1.703
ALDH6A1	1.92
ALDH7A1	1.963
ALDH8A1	1.687
ALDH9A1	1.973
ALDOA	2.167
ALDOB	1.61
ALDOC	1.954
ALG1	2.167
ALG10	2.061
ALG10B	2
ALG11	2.057
ALG12	1.865
ALG13	2.147
ALG14	2.053
ALG1L	2.033
ALG1L2	2.033
ALG1L9P	1.922
ALG2	1.61
ALG3	2.033
ALG5	2.057
ALG6	2.053
ALG8	1.922
ALG9	1.922
ALK	1.975
ALKBH1	1.92
ALKBH2	2.061
ALKBH3	2.205
ALKBH3-AS1	2.205
ALKBH4	2.009
ALKBH5	1.954
ALKBH6	2.142
ALKBH7	2.368
ALKBH8	1.922
ALLC	1.975
ALMS1	1.975
ALMS1-IT1	1.975
ALMS1P1	1.975
ALOX12	1.954
ALOX12-AS1	1.954
ALOX12B	1.954
ALOX12P2	2
ALOX15	1.954
ALOX15B	1.954
ALOX15P1	1.954
ALOX5	1.167
ALOX5AP	2.057
ALOXE3	1.954
ALPI	2.13
ALPK1	2.39
ALPK2	2.129
ALPK3	2
ALPL	2.053
ALPP	2.13
ALPPL2	2.13
ALS2	2.13
ALS2CL	1.635
ALS2CR11	2.13
ALS2CR12	2.13
ALX1	2.061
ALX3	2.053
ALX4	2.205
ALYREF	1.954
AMACR	1.955
AMBN	2.39
AMBP	1.61
AMBRA1	2.205
AMD1	1.687
AMDHD1	2.061
AMDHD2	2.167
AMELX	2.147
AMELY	0.059
AMER1	2.147
AMER2	2.057
AMER3	2.13
AMFR	2.266
AMH	2.368
AMHR2	2.061
AMIGO1	2
AMIGO2	2.061
AMIGO3	1.635
AMMECR1	2.147
AMMECR1L	2.13
AMN	1.92
AMN1	2.061
AMOT	2.147
AMOTL1	1.922
AMOTL2	2.033
AMPD1	2.053
AMPD2	2.053
AMPD3	2.205
AMPH	2.009
AMT	1.635
AMTN	2.39
AMY1A	2.053
AMY1B	2.053
AMY1C	2.053
AMY2A	2.053
AMY2B	2.053
AMZ1	2.009
AMZ2	1.954
AMZ2P1	1.954
ANAPC1	2.13
ANAPC10	2.39
ANAPC11	1.954
ANAPC13	2.033
ANAPC15	1.922
ANAPC16	1.96
ANAPC1P1	1.975
ANAPC2	1.61
ANAPC4	2.05
ANAPC5	2.061
ANAPC7	2.061
ANG	1.92
ANGEL1	1.92
ANGEL2	1.973
ANGPT1	1.914
ANGPT2	1.914
ANGPT4	1.849
ANGPTL1	1.973
ANGPTL2	1.61
ANGPTL3	2.053
ANGPTL4	2.368
ANGPTL5	1.922
ANGPTL6	2.368
ANGPTL7	2.053
ANGPTL8	2.368
ANHX	2.061
ANK1	1.914
ANK2	2.39
ANK3	1.96
ANKAR	2.13
ANKDD1A	2
ANKDD1B	1.963
ANKEF1	1.849
ANKFN1	1.954
ANKFY1	1.954
ANKH	1.955
ANKHD1	1.963
ANKHD1-EIF4EBP3	1.963
ANKIB1	2.009
ANKK1	1.922
ANKLE1	2.368
ANKLE2	2.061
ANKMY1	2.13
ANKMY2	2.009
ANKRA2	1.963
ANKRD1	1.96
ANKRD10	2.057
ANKRD11	2.266
ANKRD12	2.129
ANKRD13A	2.061
ANKRD13B	1.954
ANKRD13C	2.053
ANKRD13D	1.922
ANKRD16	1.96
ANKRD17	2.39
ANKRD18A	1.946
ANKRD18B	1.946
ANKRD18CP	1.61
ANKRD18DP	2.503
ANKRD19P	1.61
ANKRD2	1.96
ANKRD20A1	1.61
ANKRD20A11P	2.223
ANKRD20A12P	2
ANKRD20A19P	2.057
ANKRD20A2	1.77
ANKRD20A3	1.77
ANKRD20A4	1.61
ANKRD20A5P	2.129
ANKRD20A8P	2.13
ANKRD20A9P	2.609
ANKRD22	1.96
ANKRD23	2.13
ANKRD24	2.368
ANKRD26	1.96
ANKRD26P1	2
ANKRD26P3	2.057
ANKRD27	2.142
ANKRD28	1.635
ANKRD29	2.129
ANKRD30A	1.96
ANKRD30B	2.129
ANKRD30BL	2.13
ANKRD30BP2	2
ANKRD30BP3	2
ANKRD31	1.963
ANKRD33	2.061
ANKRD33B	1.955
ANKRD34A	1.973
ANKRD34B	1.963
ANKRD34C	2
ANKRD34C-AS1	2
ANKRD35	1.973
ANKRD36	2.13
ANKRD36B	2.13
ANKRD36BP1	2
ANKRD36BP2	1.975
ANKRD36C	2.13
ANKRD37	2.39
ANKRD39	2.13
ANKRD40	1.954
ANKRD42	1.922
ANKRD44	2.13
ANKRD44-IT1	2.13
ANKRD45	1.973
ANKRD46	1.914
ANKRD49	1.922
ANKRD50	2.39
ANKRD52	2.061
ANKRD53	1.975
ANKRD54	1.865
ANKRD55	1.963
ANKRD6	1.687
ANKRD60	1.849
ANKRD61	2.009
ANKRD62	2.129
ANKRD62P1-PARP4P3	1.865
ANKRD63	2
ANKRD65	2.053
ANKRD66	1.703
ANKRD7	2.009
ANKRD9	1.92
ANKS1A	1.703
ANKS1B	2.061
ANKS3	2.167
ANKS4B	2.167
ANKS6	1.61
ANKUB1	2.033
ANKZF1	2.13
ANLN	2.009
ANO1	1.922
ANO1-AS2	2
ANO10	1.635
ANO2	2.061
ANO3	2.205
ANO4	2.414
ANO5	2.205
ANO6	2.061
ANO7	2.13
ANO8	2.368
ANO9	2.368
ANOS1	2.147
ANP32A	2
ANP32A-IT1	2
ANP32AP1	2
ANP32B	1.61
ANP32C	2
ANP32D	2
ANP32E	1.973
ANPEP	2
ANTXR1	1.975
ANTXR2	2.39
ANTXRL	1.96
ANTXRLP1	1.96
ANXA1	1.61
ANXA10	2.39
ANXA11	1.96
ANXA13	1.914
ANXA2	2
ANXA2P1	2.39
ANXA2P2	1.946
ANXA2P3	1.96
ANXA2R	2
ANXA3	2.39
ANXA4	1.975
ANXA5	2.39
ANXA6	1.963
ANXA7	1.96
ANXA8	1.96
ANXA8L1	1.96
ANXA9	1.973
AOAH	2.009
AOAH-IT1	2
AOC1	2.009
AOC2	1.954
AOC3	1.954
AOC4P	2
AOX1	2.13
AOX3P-AOX2P	2.13
AP1AR	2.39
AP1B1	1.865
AP1B1P1	1.865
AP1G1	2.266
AP1G2	1.92
AP1M1	2.368
AP1M2	2.368
AP1S1	2.009
AP1S2	2.147
AP1S3	2.13
AP2A1	2.391
AP2A2	2.071
AP2B1	1.954
AP2M1	2.033
AP2S1	2.391
AP3B1	1.963
AP3B2	2
AP3D1	2.368
AP3M1	1.96
AP3M2	1.914
AP3S1	1.963
AP3S2	2
AP4B1	2.053
AP4B1-AS1	2.053
AP4E1	2
AP4M1	2.009
AP4S1	1.92
AP5B1	1.922
AP5M1	1.92
AP5S1	1.849
AP5Z1	2.009
APAF1	2.061
APBA1	1.721
APBA2	1.908
APBA3	2.368
APBB1	2.205
